Kind,n,time (sec),MB / sec
Send/Recv,1,0,26.178953
Send/Recv,2,0,52.770622
Send/Recv,4,0,104.57653
Send/Recv,8,0,204.248373
Send/Recv,16,0,394.266832
Send/Recv,32,0,777.962953
Send/Recv,64,0,1304.126332
Send/Recv,128,1E-06,1397.81582
Send/Recv,256,1E-06,2873.71358
Send/Recv,512,2E-06,1855.494105
Send/Recv,1024,3E-06,3057.857047
Send/Recv,2048,3E-06,4799.76684
Send/Recv,4096,5E-06,7062.830319
Send/Recv,8192,7E-06,8918.888877
Send/Recv,16384,1.2E-05,10646.738413
Send/Recv,32768,2.2E-05,11697.374632
Send/Recv,65536,4.1E-05,12782.055927
Send/Recv,131072,8.1E-05,12937.476724
Send/Recv,262144,0.000163,12859.848807
Send/Recv,524288,0.000446,9404.817334
Send/Recv,1048576,0.001187,7064.721565
Send/Recv,2097152,0.002354,7125.889666
Send/Recv,4194304,0.004667,7189.640228
Send/Recv,8388608,0.009235,7266.420604
Send/Recv,16777216,0.018148,7395.748216
Send/Recv,33554432,0.036192,7416.99068
